RT(milliseconds);TIC
120000;0,1
120100;0,1
120200;0,1
120300;0,1
120400;0,1
120500;0,1
120600;0,1
120700;0,23637336
120800;0,1
120900;0,1
121000;1,1026332
121100;3,308211
121200;4,1152143
121300;4,1699543
121400;3,98187
121500;3,8839269
121600;3,7128108
121700;3,2465498
121800;3,1468027
121900;3,6526535
122000;4,736751
122100;5,5658813
122200;5,5390296
122300;4,951305
122400;5,039807
122500;5,273657
122600;5,3326635
122700;4,7057734
122800;3,870447
122900;3,4187229
123000;2,7948763
123100;2,473829
123200;2,1914895
123300;1,1818669
123400;0,7158953
123500;1,024323
123600;1,2363601
123700;1,4317914
123800;1,9156554
123900;2,5900152
124000;3,2475011
124100;3,8011913
124200;4,6395645
124300;5,3969626
124400;5,244011
124500;5,4529767
124600;5,907707
124700;5,467141
124800;5,4922523
124900;6,0250244
125000;5,8721952
125100;6,231488
125200;6,942416
125300;6,2181807
125400;4,7714963
125500;4,058328
125600;3,7261145
125700;3,7628071
125800;4,453724
125900;4,880938
126000;4,0537906
126100;3,0774531
126200;2,394525
126300;2,4110587
126400;2,2917535
126500;2,2877529
126600;2,5870433
126700;2,7853427
126800;2,8109956
126900;3,211883
127000;4,063227
127100;4,307804
127200;3,6019156
127300;2,5710163
127400;1,7916969
127500;1,3323462
127600;1,3713101
127700;1,7279623
127800;2,249381
127900;2,9075093
128000;3,02559
128100;2,3617039
128200;2,4824178
128300;3,299323
128400;3,0459812
128500;2,6917412
128600;2,7605622
128700;2,6210132
128800;2,0905735
128900;1,9031916
129000;1,6797267
129100;1,8279979
129200;2,3849726
129300;2,2778497
129400;2,0042853
129500;1,6255231
129600;1,9122766
129700;2,7473648
129800;2,8554504
129900;2,51301
130000;2,4293945
130100;2,4515655
130200;2,74214
130300;3,3276796
130400;4,170257
130500;4,940244
130600;4,734365
130700;4,6888733
130800;4,8725367
130900;4,4324355
131000;4,224034
131100;4,0806217
131200;4,1974525
131300;4,185435
131400;3,9694166
131500;4,155926
131600;4,2463417
131700;3,9653025
131800;3,1748579
131900;2,6706276
132000;2,6179874
132100;3,6189911
132200;4,3604527
132300;3,8036778
132400;2,772435
132500;2,4297059
132600;2,723807
132700;3,3054137
132800;3,7592862
132900;3,9836628
133000;3,9002001
133100;4,2485814
133200;5,2429185
133300;6,3412814
133400;6,9702377
133500;7,081198
133600;7,105865
133700;6,45042
133800;5,4031672
133900;4,8572874
134000;4,528701
134100;3,8320339
134200;3,4021654
134300;3,2746708
134400;3,0803657
134500;2,808984
134600;2,230691
134700;1,634847
134800;1,7393372
134900;1,8571308
135000;1,7281488
135100;2,1406932
135200;2,5728903
135300;2,1164196
135400;1,2914861
